,Time,Concentration,Bioagent,Type
574,5.74,269161093.83598673,CFU,wt
575,5.75,270184829.664674,CFU,wt
576,5.76,271211517.0344125,CFU,wt
577,5.7700000000000005,272241157.2907175,CFU,wt
578,5.78,273273751.72115946,CFU,wt
579,5.79,274309301.5549851,CFU,wt
580,5.8,275347807.96273696,CFU,wt
581,5.8100000000000005,276389272.0558754,CFU,wt
582,5.82,277433694.88640046,CFU,wt
583,5.83,278481077.4464751,CFU,wt
584,5.84,279531420.6680487,CFU,wt
585,5.8500000000000005,280584725.422482,CFU,wt
586,5.86,281640992.5201723,CFU,wt
587,5.87,282700222.71018064,CFU,wt
588,5.88,283762416.6798586,CFU,wt
589,5.89,284827575.0544776,CFU,wt
590,5.9,285895698.39685786,CFU,wt
591,5.91,286966787.2069993,CFU,wt
592,5.92,288040841.9217138,CFU,wt
593,5.93,289117862.9142578,CFU,wt
594,5.94,290197850.49396676,CFU,wt
595,5.95,291280804.90589035,CFU,wt
596,5.96,292366726.3304297,CFU,wt
597,5.97,293455614.88297534,CFU,wt
598,5.98,294547470.61354667,CFU,wt
599,5.99,295642293.50643265,CFU,wt
600,6.0,296740083.47983474,CFU,wt
601,6.01,297840840.38551027,CFU,wt
602,6.0200000000000005,298944564.00841796,CFU,wt
603,6.03,300051254.06636477,CFU,wt
604,6.04,301160910.2096547,CFU,wt
605,6.05,302273532.0207387,CFU,wt
606,6.0600000000000005,303389119.0138672,CFU,wt
607,6.07,304507670.63474256,CFU,wt
608,6.08,305629186.2601757,CFU,wt
609,6.09,306753665.1977427,CFU,wt
610,6.1000000000000005,307881106.685444,CFU,wt
611,6.11,309011509.89136523,CFU,wt
612,6.12,310144873.91334045,CFU,wt
613,6.13,311281197.77861667,CFU,wt
614,6.140000000000001,312420480.44352126,CFU,wt
615,6.15,313562720.7931301,CFU,wt
616,6.16,314707917.6409395,CFU,wt
617,6.17,315856069.72853905,CFU,wt
618,6.18,317007175.72528696,CFU,wt
619,6.19,318161234.2279881,CFU,wt
620,6.2,319318243.7605732,CFU,wt
621,6.21,320478202.7737819,CFU,wt
622,6.22,321641109.6448468,CFU,wt
623,6.23,322806962.6771809,CFU,wt
624,6.24,323975760.10006636,CFU,wt
625,6.25,325147500.06834733,CFU,wt
626,6.26,326322180.66212374,CFU,wt
627,6.2700000000000005,327499799.8864487,CFU,wt
628,6.28,328680355.6710278,CFU,wt
629,6.29,329863845.8699218,CFU,wt
630,6.3,331050268.2612517,CFU,wt
631,6.3100000000000005,332239620.54690605,CFU,wt
632,6.32,333431900.35225177,CFU,wt
633,6.33,334627105.22584784,CFU,wt
634,6.34,335825232.6391611,CFU,wt
635,6.3500000000000005,337026279.9862857,CFU,wt
636,6.36,338230244.58366513,CFU,wt
637,6.37,339437123.6698175,CFU,wt
638,6.38,340646914.4050637,CFU,wt
639,6.390000000000001,341859613.87125885,CFU,wt
640,6.4,343075219.0715262,CFU,wt
